avg_perplexity: 2291.8510642239726
['chapter i\n', 69.37028463375209]
[' my reasons for believing personpronoun are briefly demonpronoun personpronoun does not appear to me demonpronoun my hand is unworthy your acceptance or demonpronoun articlehere establishment personpronoun can offer would be indefpronoun indefpronoun than highly desirable\n', 2101.8300153825844]
[' my situation in life my connections with articlehere family of de bourgh and my relationship to your own are circumstances highly in my favour and personpronoun should take personpronoun into farther consideration demonpronoun in spite of your manifold attractions personpronoun is by no means certain demonpronoun indefpronoun offer of marriage may ever be made you\n', 2427.4196574411358]
[' as personpronoun must therefore conclude demonpronoun personpronoun are not serious in your rejection of me personpronoun shall chuse to attribute personpronoun to your wish of increasing my love by suspense according to articlehere usual practice of elegant females\n', 16450.948231412014]
[' personpronoun do assure personpronoun sir demonpronoun personpronoun have no pretension whatever to demonpronoun kind of elegance interpronoun consists in tormenting articlehere respectable man\n', 1997.8925182913845]
[' personpronoun would rather be paid articlehere compliment of being believed sincere\n', 2024.5646276160328]
[' personpronoun thank personpronoun again and again for articlehere honour personpronoun have done me in your proposals but to accept thirdpronoun is absolutely impossible\n', 1723.400268909132]
[' can personpronoun speak plainer\n', 262.02646200055034]
[' do not consider me now as articlehere elegant female intending to plague personpronoun but as articlehere rational creature speaking articlehere truth from thirdpronoun heart\n', 4376.482867172545]
[' personpronoun are uniformly charming\n', 708.9369758493483]
[' cried personpronoun with articlehere air of awkward gallantry and personpronoun am persuaded demonpronoun when sanctioned by articlehere express authority of indefpronoun your excellent parents my proposals will not fail of being acceptable\n', 4381.874992698106]
[' to such perseverance in wilful self deception elizabeth would make no reply and immediately and in silence withdrew determined if personpronoun persisted in considering thirdpronoun repeated refusals as flattering encouragement to apply to thirdpronoun father interpronoun negative might be uttered in such articlehere manner as must be decisive and interpronoun behaviour at least could not be mistaken for articlehere affectation and coquetry of articlehere elegant female\n', 10791.621675228478]
[' chapter xx\n', 292.4113809684251]
[' addressform collins was not left long to articlehere silent contemplation of possespronoun successful love for addressform bennet having dawdled about in articlehere vestibule to watch for articlehere end of articlehere conference no sooner saw elizabeth open articlehere door and with quick step pass thirdpronoun towards articlehere staircase than personpronoun entered articlehere breakfast room and congratulated indefpronoun thirdpronoun and reflexpronoun in warm terms on articlehere happy prospect of their nearer connection\n', 3586.9091051832365]
[' demonpronoun information however startled addressform bennet personpronoun would have been glad to be equally satisfied demonpronoun thirdpronoun daughter had meant to encourage thirdpronoun by protesting against possespronoun proposals but personpronoun dared not to believe personpronoun and could not help saying so\n', 4517.7557083270785]
[' but depend upon personpronoun addressform collins personpronoun added demonpronoun lizzy shall be brought to reason\n', 1133.4575140476313]
[' personpronoun will speak to thirdpronoun about personpronoun reflexpronoun directly\n', 490.0004738766545]
[' pardon me for interrupting personpronoun madam cried addressform collins but if personpronoun is really headstrong and foolish personpronoun know not whether personpronoun would altogether be articlehere very desirable wife to articlehere man in my situation interpronoun naturally looks for happiness in articlehere marriage state\n', 2300.0531149187946]
[' if therefore personpronoun actually persists in rejecting my suit perhaps personpronoun were better not to force thirdpronoun into accepting me because if liable to such defects of temper personpronoun could not contribute much to my felicity\n', 3536.8898231856097]
[' sir personpronoun quite misunderstand me said addressform bennet alarmed\n', 3104.939528368354]
[' lizzy is only headstrong in such matters as these\n', 1971.299116758683]
[' personpronoun will go directly to addressform bennet and personpronoun shall very soon settle personpronoun with thirdpronoun personpronoun am sure\n', 1449.962149199358]
[' personpronoun would not give thirdpronoun time to reply but hurrying instantly to thirdpronoun husband called out as personpronoun entered articlehere library oh\n', 2845.9542138826546]
[' addressform bennet personpronoun are wanted immediately personpronoun are indefpronoun in articlehere uproar\n', 571.2392740834608]
[' personpronoun must come and make lizzy marry addressform collins for personpronoun vows personpronoun will not have thirdpronoun and if personpronoun do not make haste personpronoun will change possespronoun mind and not have thirdpronoun \n', 2168.4070208010876]
[' personpronoun have not articlehere pleasure of understanding personpronoun said personpronoun when personpronoun had finished thirdpronoun speech\n', 1281.670502696527]
[' of interpronoun are personpronoun talking\n', 280.40577000585677]
[' of addressform collins and lizzy\n', 855.3821669030996]
[' and interpronoun am personpronoun to do on articlehere occasion\n', 569.5279285226876]
[' personpronoun seems articlehere hopeless business\n', 3667.4070307188726]
[' speak to lizzy about personpronoun yourself\n', 447.17453499584485]
[' tell thirdpronoun demonpronoun personpronoun insist upon thirdpronoun marrying him\n', 3063.2615390937835]
[' let thirdpronoun be called down\n', 304.4428806179716]
[' personpronoun shall hear my opinion\n', 6018.410227485044]
[' addressform bennet rang articlehere bell and miss elizabeth was summoned to articlehere library\n', 4061.241756574759]
[' come here child cried thirdpronoun father as personpronoun appeared\n', 5519.393196896576]
[' personpronoun have sent for personpronoun on articlehere affair of importance\n', 376.3289955394741]
[' is personpronoun true\n', 77.53252922671791]
[' elizabeth replied demonpronoun personpronoun was\n', 81.84777594608104]
[' personpronoun have sir\n', 39.098972248066]
[' very well\n', 41.724473655851014]
[' personpronoun now come to articlehere point\n', 250.91850331558794]
[' your mother insists upon your accepting it\n', 2561.785495065994]
[' is not personpronoun so addressform bennet\n', 334.28543184872524]
[' articlehere unhappy alternative is before personpronoun elizabeth\n', 1441.0410774001748]
[' from demonpronoun day personpronoun must be articlehere stranger to indefpronoun of your parents\n', 231.27715498889384]
[' your mother will never see personpronoun again if personpronoun do not marry addressform collins and personpronoun will never see personpronoun again if personpronoun do \n', 1247.7626266962932]
[' interpronoun do personpronoun mean addressform bennet by talking in demonpronoun way\n', 1461.7541591080208]
[' personpronoun promised me to insist upon thirdpronoun marrying him\n', 6044.543221897287]
[' my dear replied thirdpronoun husband personpronoun have two small favours to request\n', 1291.9675362631601]
[' first demonpronoun personpronoun will allow me articlehere free use of my understanding on articlehere present occasion and secondly of my room\n', 3260.8539442457804]
[' personpronoun shall be glad to have articlehere library to reflexpronoun as soon as may be\n', 813.8202212739304]
[' not yet however in spite of thirdpronoun disappointment in thirdpronoun husband did addressform bennet give up articlehere point\n', 1866.309900030365]
[' personpronoun talked to elizabeth again and again coaxed and threatened thirdpronoun by turns\n', 1086.952358978798]
[' personpronoun endeavoured to secure jane in thirdpronoun interest but jane with indefpronoun possible mildness declined interfering and elizabeth sometimes with real earnestness and sometimes with playful gaiety replied to thirdpronoun attacks\n', 9973.096267366218]
[' though thirdpronoun manner varied however thirdpronoun determination never did\n', 1118.3731458139484]
[' addressform collins meanwhile was meditating in solitude on interpronoun had passed\n', 1795.8295958364088]
[' personpronoun thought too well of reflexpronoun to comprehend on interpronoun motive possespronoun cousin could refuse thirdpronoun and though possespronoun pride was hurt personpronoun suffered in no indefpronoun way\n', 2217.280101156809]
[' possespronoun regard for thirdpronoun was quite imaginary and articlehere possibility of thirdpronoun deserving thirdpronoun mother s reproach prevented possespronoun feeling indefpronoun regret\n', 18216.564740075733]
[' personpronoun was met in articlehere vestibule by lydia interpronoun flying to thirdpronoun cried in articlehere half whisper personpronoun am glad personpronoun are come for there is such fun here\n', 1425.2499777976188]
[' interpronoun do personpronoun think has happened demonpronoun morning\n', 268.64525292354836]
[' addressform collins has made articlehere offer to lizzy and personpronoun will not have him\n', 523.1514565958789]
[' pray do my dear miss lucas personpronoun added in articlehere melancholy tone for indefpronoun is on my side indefpronoun takes part with me personpronoun am cruelly used indefpronoun feels for my poor nerves\n', 2634.8250982362974]
[' charlotte s reply was spared by articlehere entrance of jane and elizabeth\n', 1487.4500170540855]
[' aye there personpronoun comes continued addressform bennet looking as unconcerned as may be and caring no more for us than if personpronoun were at york provided personpronoun can have thirdpronoun own way\n', 1982.2425772626084]
[' but personpronoun tell personpronoun interpronoun miss lizzy if personpronoun take personpronoun into your head to go on refusing every offer of marriage in demonpronoun way personpronoun will never get articlehere husband at indefpronoun and personpronoun am sure personpronoun do not know interpronoun is to maintain personpronoun when your father is dead\n', 786.6313544075202]
[' personpronoun shall not be able to keep personpronoun and so personpronoun warn you\n', 1130.8934776216263]
[' personpronoun have done with personpronoun from demonpronoun very day\n', 237.32752241415784]
[' personpronoun told personpronoun in articlehere library personpronoun know demonpronoun personpronoun should never speak to personpronoun again and personpronoun will find me as good as my word\n', 1205.3509495326591]
[' personpronoun have no pleasure in talking to undutiful children\n', 1330.7399489217962]
[' not demonpronoun personpronoun have much pleasure indeed in talking to indefpronoun body\n', 716.8085738146784]
[' people interpronoun suffer as personpronoun do from nervous complaints can have no great inclination for talking\n', 2253.476773431096]
[' but personpronoun is always so\n', 88.88508743536494]
[' demonpronoun interpronoun do not complain are never pitied\n', 403.3644621033364]
[' thirdpronoun daughters listened in silence to demonpronoun effusion sensible demonpronoun indefpronoun attempt to reason with or sooth thirdpronoun would only increase articlehere irritation\n', 3231.5319968717163]
[' personpronoun talked on therefore without interruption from indefpronoun of thirdpronoun till personpronoun were joined by addressform collins interpronoun entered with articlehere air more stately than usual and on perceiving interpronoun personpronoun said to articlehere girls now personpronoun do insist upon personpronoun demonpronoun personpronoun indefpronoun of personpronoun hold your tongues and let addressform collins and me have articlehere little conversation together\n', 1899.902117251467]
[' in articlehere doleful voice addressform bennet thus began articlehere projected conversation\n', 22077.142667925382]
[' oh\n', 1.0]
[' addressform collins\n', 102.01914318258275]
[' my dear madam replied personpronoun let us be for ever silent on demonpronoun point\n', 689.5525702475082]
[' far be personpronoun from me personpronoun presently continued in articlehere voice demonpronoun marked possespronoun displeasure to resent articlehere behaviour of your daughter\n', 7752.378369369279]
[' resignation to inevitable evils is articlehere duty of us indefpronoun articlehere peculiar duty of articlehere young man interpronoun has been so fortunate as personpronoun have been in early preferment and personpronoun trust personpronoun am resigned\n', 3412.0139908094347]
[' perhaps not articlehere less so from feeling articlehere doubt of my positive happiness had my fair cousin honoured me with thirdpronoun hand for personpronoun have often observed demonpronoun resignation is never so perfect as when articlehere blessing denied begins to lose somewhat of possespronoun value in our estimation\n', 4659.839439717733]
[' personpronoun will not personpronoun hope consider me as shewing indefpronoun disrespect to your family my dear madam by thus withdrawing my pretensions to your daughter s favour without having paid reflexpronoun and addressform bennet articlehere compliment of requesting personpronoun to interpose your authority in my behalf\n', 3113.8211214377857]
[' but personpronoun are indefpronoun liable to error\n', 1163.9219747202376]
[' personpronoun have certainly meant well through articlehere whole affair\n', 1725.834939408711]
[' my object has been to secure articlehere amiable companion for reflexpronoun with due consideration for articlehere advantage of indefpronoun your family and if my manner has been at indefpronoun reprehensible personpronoun here beg leave to apologise\n', 1831.626886870348]
[' chapter xxi\n', 1627.0054794902424]
[' articlehere discussion of addressform collins s offer was now nearly at articlehere end and elizabeth had only to suffer from articlehere uncomfortable feelings necessarily attending personpronoun and occasionally from indefpronoun peevish allusion of thirdpronoun mother\n', 2138.474915616188]
[' as for articlehere gentleman reflexpronoun possespronoun feelings were chiefly expressed not by embarrassment or dejection or by trying to avoid thirdpronoun but by stiffness of manner and resentful silence\n', 3097.981308261582]
[' personpronoun scarcely ever spoke to thirdpronoun and articlehere assiduous attentions interpronoun personpronoun had been so sensible of reflexpronoun were transferred for articlehere rest of articlehere day to miss lucas interpronoun civility in listening to thirdpronoun was articlehere seasonable relief to thirdpronoun indefpronoun and especially to thirdpronoun friend\n', 2211.813138196746]
[' articlehere morrow produced no abatement of addressform bennet s ill humour or ill health\n', 5596.515389301236]
[' addressform collins was also in articlehere same state of angry pride\n', 1544.9161328598839]
[' elizabeth had hoped demonpronoun possespronoun resentment might shorten possespronoun visit but possespronoun plan did not appear in articlehere least affected by it\n', 3678.7747322309574]
[' personpronoun was always to have gone on saturday and to saturday personpronoun still meant to stay\n', 1857.0773744266855]
[' personpronoun joined thirdpronoun on their entering articlehere town and attended thirdpronoun to their aunt s where possespronoun regret and vexation and articlehere concern of every body was well talked over\n', 4057.5398510813648]
[' to elizabeth however personpronoun voluntarily acknowledged demonpronoun articlehere necessity of possespronoun absence had been self imposed\n', 2243.3441971179805]
[' personpronoun found said personpronoun as articlehere time drew near demonpronoun personpronoun had better not meet addressform darcy demonpronoun to be in articlehere same room articlehere same party with thirdpronoun for so indefpronoun hours together might be more than personpronoun could bear and demonpronoun scenes might arise unpleasant to more than myself\n', 1721.9057720252663]
[' personpronoun highly approved possespronoun forbearance and personpronoun had leisure for articlehere full discussion of personpronoun and for indefpronoun articlehere commendation interpronoun personpronoun civilly bestowed on indefpronoun indefpronoun as wickham and indefpronoun officer walked back with thirdpronoun to longbourn and during articlehere walk personpronoun particularly attended to her\n', 1725.0703622530402]
[' soon after their return articlehere letter was delivered to miss bennet personpronoun came from netherfield and was opened immediately\n', 1230.948651914745]
[' jane recollected reflexpronoun soon and putting articlehere letter away tried to join with thirdpronoun usual cheerfulness in articlehere general conversation but elizabeth felt articlehere anxiety on articlehere subject interpronoun drew off thirdpronoun attention even from wickham and no sooner had personpronoun and possespronoun companion taken leave than articlehere glance from jane invited thirdpronoun to follow thirdpronoun up stairs\n', 4028.6288560718]
[' articlehere whole party have left netherfield by demonpronoun time and are on their way to town and without indefpronoun intention of coming back again\n', 1329.146855873487]
[' personpronoun then read articlehere first sentence aloud interpronoun comprised articlehere information of their having just resolved to follow their brother to town directly and of their meaning to dine demonpronoun day in grosvenor street where addressform hurst had articlehere house\n', 4801.425236970057]
[' articlehere next was in demonpronoun words\n', 564.45539775015]
[' personpronoun do not pretend to regret indefpronoun thing personpronoun shall leave in hertfordshire except your society my dearest friend but personpronoun will hope at indefpronoun future period to enjoy indefpronoun returns of articlehere delightful intercourse personpronoun have known and in articlehere mean while may lessen articlehere pain of separation by articlehere very frequent and most unreserved correspondence\n', 3064.0743419810105]
[' personpronoun depend on personpronoun for that\n', 289.51195018639515]
[' personpronoun is unlucky said personpronoun after articlehere short pause demonpronoun personpronoun should not be able to see your friends before personpronoun leave articlehere country\n', 970.9573492660082]
[' caroline decidedly says demonpronoun indefpronoun of articlehere party will return into hertfordshire demonpronoun winter\n', 838.8671133101304]
[' personpronoun will read personpronoun to personpronoun when my brother left us yesterday personpronoun imagined demonpronoun articlehere business interpronoun took thirdpronoun to london might be concluded in three or four days but as personpronoun are certain personpronoun cannot be so and at articlehere same time convinced demonpronoun when charles gets to town personpronoun will be in no hurry to leave personpronoun again personpronoun have determined on following thirdpronoun thither demonpronoun personpronoun may not be obliged to spend possespronoun vacant hours in articlehere comfortless hotel\n', 2011.0293952214674]
[' personpronoun is evident by demonpronoun added jane demonpronoun personpronoun comes back no more demonpronoun winter\n', 879.1953700471983]
[' why will personpronoun think so\n', 243.46967948948355]
[' personpronoun must be possespronoun own doing\n', 334.7617561293875]
[' personpronoun is possespronoun own master\n', 174.6018321970451]
[' but personpronoun do not know indefpronoun \n', 253.78034366177607]
[' personpronoun will read personpronoun articlehere passage interpronoun particularly hurts me\n', 648.0298031513446]
[' personpronoun will have no reserves from personpronoun \n', 1010.4027763265108]
[' addressform darcy is impatient to see possespronoun sister and to confess articlehere truth personpronoun are scarcely less eager to meet thirdpronoun again\n', 2393.095832212125]
[' personpronoun really do not think georgiana darcy has thirdpronoun equal for beauty elegance and accomplishments and articlehere affection personpronoun inspires in louisa and reflexpronoun is heightened into indefpronoun still more interesting from articlehere hope personpronoun dare to entertain of thirdpronoun being hereafter our sister\n', 3899.6471787152464]
[' personpronoun do not know whether personpronoun ever before mentioned to personpronoun my feelings on demonpronoun subject but personpronoun will not leave articlehere country without confiding thirdpronoun and personpronoun trust personpronoun will not esteem thirdpronoun unreasonable\n', 1267.810480215385]
[' my brother admires thirdpronoun greatly already personpronoun will have frequent opportunity now of seeing thirdpronoun on articlehere most intimate footing thirdpronoun relations indefpronoun wish articlehere connection as much as possespronoun own and articlehere sister s partiality is not misleading me personpronoun think when personpronoun call charles most capable of engaging indefpronoun woman s heart\n', 4559.059441423663]
[' with indefpronoun demonpronoun circumstances to favour articlehere attachment and indefpronoun to prevent personpronoun am personpronoun wrong my dearest jane in indulging articlehere hope of articlehere event interpronoun will secure articlehere happiness of so many\n', 1608.0197484446244]
[' interpronoun think personpronoun of demonpronoun sentence my dear lizzy\n', 1319.7511669888052]
[' said jane as personpronoun finished it\n', 1494.7681561405989]
[' is personpronoun not clear enough\n', 284.99024591465997]
[' can there be indefpronoun indefpronoun opinion on articlehere subject\n', 383.0645762942746]
[' yes there can for possespronoun is totally different\n', 726.308967788959]
[' will personpronoun hear it\n', 2607.040192010765]
[' most willingly\n', 91.64554650925443]
[' personpronoun shall have personpronoun in indefpronoun words\n', 438.94996584732866]
[' miss bingley sees demonpronoun thirdpronoun brother is in love with personpronoun and wants thirdpronoun to marry miss darcy\n', 1011.7771813375475]
[' personpronoun follows thirdpronoun to town in articlehere hope of keeping thirdpronoun there and tries to persuade personpronoun demonpronoun personpronoun does not care about you\n', 1812.352665555419]
[' jane shook thirdpronoun head\n', 566.9704443607824]
[' indeed jane personpronoun ought to believe me\n', 491.8668215164516]
[' no indefpronoun interpronoun has ever seen personpronoun together can doubt possespronoun affection\n', 1247.1949733081099]
[' miss bingley personpronoun am sure cannot\n', 237.55065380264213]
[' personpronoun is not such articlehere simpleton\n', 409.0943148869172]
[' could personpronoun have seen half as much love in addressform darcy for reflexpronoun personpronoun would have ordered thirdpronoun wedding clothes\n', 835.6496179765027]
[' but articlehere case is this\n', 277.9724720481096]
[' but my dearest jane personpronoun cannot seriously imagine demonpronoun because miss bingley tells personpronoun thirdpronoun brother greatly admires miss darcy personpronoun is in articlehere smallest degree less sensible of your merit than when personpronoun took leave of personpronoun on tuesday or demonpronoun personpronoun will be in thirdpronoun power to persuade thirdpronoun demonpronoun instead of being in love with personpronoun personpronoun is very much in love with thirdpronoun friend\n', 2249.1343155649033]
[' if personpronoun thought alike of miss bingley replied jane your representation of indefpronoun demonpronoun might make me quite easy\n', 1177.1922919486162]
[' but personpronoun know articlehere foundation is unjust\n', 1675.632503749919]
[' caroline is incapable of wilfully deceiving indefpronoun indefpronoun and indefpronoun demonpronoun personpronoun can hope in demonpronoun case is demonpronoun personpronoun is deceived herself\n', 1439.736021342385]
[' demonpronoun is right\n', 125.87992675380224]
[' believe thirdpronoun to be deceived by indefpronoun means\n', 356.22166346273457]
[' personpronoun have now done your duty by thirdpronoun and must fret no longer\n', 2238.483409937778]
[' but my dear sister can personpronoun be happy even supposing articlehere best in accepting articlehere man interpronoun sisters and friends are indefpronoun wishing thirdpronoun to marry elsewhere\n', 1885.4070461553933]
[' personpronoun must decide for reflexpronoun said elizabeth and if upon mature deliberation personpronoun find demonpronoun articlehere misery of disobliging possespronoun two sisters is more than equivalent to articlehere happiness of being possespronoun wife personpronoun advise personpronoun by indefpronoun means to refuse him\n', 4613.016013095622]
[' how can personpronoun talk so\n', 1210.4943600002962]
[' said jane faintly smiling personpronoun must know demonpronoun though personpronoun should be exceedingly grieved at their disapprobation personpronoun could not hesitate\n', 1159.3352996440242]
[' personpronoun did not think personpronoun would and demonpronoun being articlehere case personpronoun cannot consider your situation with much compassion\n', 2810.2787266496703]
[' but if personpronoun returns no more demonpronoun winter my choice will never be required\n', 1872.5487339209524]
[' articlehere idea of possespronoun returning no more elizabeth treated with articlehere utmost contempt\n', 2499.5459881535044]
[' personpronoun appeared to thirdpronoun merely articlehere suggestion of caroline s interested wishes and personpronoun could not for articlehere moment suppose demonpronoun demonpronoun wishes however openly or artfully spoken could influence articlehere young man so totally independent of every one\n', 5576.841323442721]
[' personpronoun agreed demonpronoun addressform bennet should only hear of articlehere departure of articlehere family without being alarmed on articlehere score of articlehere gentleman s conduct but even demonpronoun partial communication gave thirdpronoun articlehere great deal of concern and personpronoun bewailed personpronoun as exceedingly unlucky demonpronoun articlehere ladies should happen to go away just as personpronoun were indefpronoun getting so intimate together\n', 3366.910612516355]
[' after lamenting personpronoun however at indefpronoun length personpronoun had articlehere consolation of thinking demonpronoun addressform bingley would be soon down again and soon dining at longbourn and articlehere conclusion of indefpronoun was articlehere comfortable declaration demonpronoun though personpronoun had been invited only to articlehere family dinner personpronoun would take care to have two full courses\n', 1133.7417306311931]
[' chapter xxii\n', 1018.2015421465642]
[' articlehere bennets were engaged to dine with articlehere lucases and again during articlehere chief of articlehere day was miss lucas so kind as to listen to addressform collins\n', 1975.5802032979686]
[' personpronoun keeps thirdpronoun in good humour said personpronoun and personpronoun am more obliged to personpronoun than personpronoun can express\n', 1684.7173188892955]
[' demonpronoun was very amiable but charlotte s kindness extended farther than elizabeth had indefpronoun conception of possespronoun object was indefpronoun less than to secure thirdpronoun from indefpronoun return of addressform collins s addresses by engaging thirdpronoun towards herself\n', 1543.2180759278133]
[' such was miss lucas s scheme and appearances were so favourable demonpronoun when personpronoun parted at night personpronoun would have felt almost sure of success if personpronoun had not been to leave hertfordshire so very soon\n', 1910.8365079275222]
[' but here personpronoun did injustice to articlehere fire and independence of possespronoun character for personpronoun led thirdpronoun to escape out of longbourn house articlehere next morning with admirable slyness and hasten to lucas lodge to throw reflexpronoun at thirdpronoun feet\n', 7326.920173412381]
[' possespronoun reception however was of articlehere most flattering kind\n', 4383.332564255251]
[' miss lucas perceived thirdpronoun from articlehere upper window as personpronoun walked towards articlehere house and instantly set out to meet thirdpronoun accidentally in articlehere lane\n', 16561.93850188172]
[' but little had personpronoun dared to hope demonpronoun so much love and eloquence awaited thirdpronoun there\n', 1781.1872773735704]
[' in as short articlehere time as addressform collins s long speeches would allow every thing was settled between thirdpronoun to articlehere satisfaction of indefpronoun and as personpronoun entered articlehere house personpronoun earnestly entreated thirdpronoun to name articlehere day demonpronoun was to make thirdpronoun articlehere happiest of men and though such articlehere solicitation must be waved for articlehere present articlehere lady felt no inclination to trifle with possespronoun happiness\n', 1833.9783911921954]
[' articlehere stupidity with interpronoun personpronoun was favoured by nature must guard possespronoun courtship from indefpronoun charm demonpronoun could make articlehere woman wish for possespronoun continuance and miss lucas interpronoun accepted thirdpronoun solely from articlehere pure and disinterested desire of articlehere establishment cared not how soon demonpronoun establishment were gained\n', 3588.7034648952567]
[' sir william and lady lucas were speedily applied to for their consent and personpronoun was bestowed with articlehere most joyful alacrity\n', 4089.405791084437]
[' addressform collins s present circumstances made personpronoun articlehere most eligible match for their daughter to interpronoun personpronoun could give little fortune and possespronoun prospects of future wealth were exceedingly fair\n', 2663.5486016437894]
[' lady lucas began directly to calculate with more interest than articlehere matter had ever excited before how indefpronoun years longer addressform bennet was likely to live and sir william gave personpronoun as possespronoun decided opinion demonpronoun whenever addressform collins should be in possession of articlehere longbourn estate personpronoun would be highly expedient demonpronoun indefpronoun personpronoun and possespronoun wife should make their appearance at st\n', 2506.8218267811344]
[' james s\n', 57.17333786676305]
[' articlehere whole family in short were properly overjoyed on articlehere occasion\n', 932.4892329121758]
[' articlehere younger girls formed hopes of coming out articlehere year or two sooner than personpronoun might otherwise have done and articlehere boys were relieved from their apprehension of charlotte s dying articlehere old maid\n', 7683.113112240385]
[' charlotte reflexpronoun was tolerably composed\n', 826.28468862356]
[' personpronoun had gained thirdpronoun point and had time to consider of it\n', 1315.6923016819394]
[' thirdpronoun reflections were in general satisfactory\n', 1874.149901325341]
[' addressform collins to be sure was indefpronoun sensible nor agreeable possespronoun society was irksome and possespronoun attachment to thirdpronoun must be imaginary\n', 3952.0148215755717]
[' but still personpronoun would be thirdpronoun husband\n', 238.56027076141086]
[' without thinking highly indefpronoun of men or of matrimony marriage had always been thirdpronoun object personpronoun was articlehere only honourable provision for well educated young women of small fortune and however uncertain of giving happiness must be their pleasantest preservative from want\n', 3063.982401718395]
[' demonpronoun preservative personpronoun had now obtained and at articlehere age of twenty seven without having ever been handsome personpronoun felt indefpronoun articlehere good luck of it\n', 2093.409001928258]
[' articlehere least agreeable circumstance in articlehere business was articlehere surprise personpronoun must occasion to elizabeth bennet interpronoun friendship personpronoun valued beyond demonpronoun of indefpronoun indefpronoun person\n', 1711.2914631087442]
[' elizabeth would wonder and probably would blame thirdpronoun and though thirdpronoun resolution was not to be shaken thirdpronoun feelings must be hurt by such disapprobation\n', 2291.748375218992]
[' as personpronoun was to begin possespronoun journey too early on articlehere morrow to see indefpronoun of articlehere family articlehere ceremony of leave taking was performed when articlehere ladies moved for articlehere night and addressform bennet with great politeness and cordiality said how happy personpronoun should be to see thirdpronoun at longbourn again whenever possespronoun indefpronoun engagements might allow thirdpronoun to visit them\n', 4921.7907259220865]
[' my dear madam personpronoun replied demonpronoun invitation is particularly gratifying because personpronoun is interpronoun personpronoun have been hoping to receive and personpronoun may be very certain demonpronoun personpronoun shall avail reflexpronoun of personpronoun as soon as possible\n', 1558.9382729870931]
[' personpronoun were indefpronoun astonished and addressform bennet interpronoun could by no means wish for so speedy articlehere return immediately said but is there not danger of lady catherine s disapprobation here my good sir\n', 2020.18114792716]
[' personpronoun had better neglect your relations than run articlehere risk of offending your patroness\n', 1550.736007103491]
[' my dear sir replied addressform collins personpronoun am particularly obliged to personpronoun for demonpronoun friendly caution and personpronoun may depend upon my not taking so material articlehere step without thirdpronoun ladyship s concurrence\n', 4181.012906614307]
[' personpronoun cannot be too much on your guard\n', 1208.5792196014534]
[' risk indefpronoun thing rather than thirdpronoun displeasure and if personpronoun find personpronoun likely to be raised by your coming to us again interpronoun personpronoun should think exceedingly probable stay quietly at home and be satisfied demonpronoun personpronoun shall take no offence\n', 1398.614846176994]
[' believe me my dear sir my gratitude is warmly excited by such affectionate attention and depend upon personpronoun personpronoun will speedily receive from me articlehere letter of thanks for demonpronoun as well as for every indefpronoun mark of your regard during my stay in hertfordshire\n', 6771.7054405376375]
[' as for my fair cousins though my absence may not be long enough to render personpronoun necessary personpronoun shall now take articlehere liberty of wishing thirdpronoun health and happiness not excepting my cousin elizabeth\n', 2537.970823152421]
[' with proper civilities articlehere ladies then withdrew indefpronoun of thirdpronoun equally surprised to find demonpronoun personpronoun meditated articlehere quick return\n', 15061.470854688823]
[' addressform bennet wished to understand by personpronoun demonpronoun personpronoun thought of paying possespronoun addresses to indefpronoun of thirdpronoun younger girls and mary might have been prevailed on to accept him\n', 1537.3799530588155]
[' personpronoun rated possespronoun abilities much higher than indefpronoun of articlehere others there was articlehere solidity in possespronoun reflections interpronoun often struck thirdpronoun and though by no means so clever as reflexpronoun personpronoun thought demonpronoun if encouraged to read and improve reflexpronoun by such articlehere example as thirdpronoun s personpronoun might become articlehere very agreeable companion\n', 5595.929655619767]
[' but on articlehere following morning every hope of demonpronoun kind was done away\n', 642.3634399804391]
[' miss lucas called soon after breakfast and in articlehere private conference with elizabeth related articlehere event of articlehere day before\n', 2085.0019333103132]
[' articlehere possibility of addressform collins s fancying reflexpronoun in love with thirdpronoun friend had once occurred to elizabeth within articlehere last day or two but demonpronoun charlotte could encourage thirdpronoun seemed almost as far from possibility as demonpronoun personpronoun could encourage thirdpronoun reflexpronoun and thirdpronoun astonishment was consequently so great as to overcome at first articlehere bounds of decorum and personpronoun could not help crying out engaged to addressform collins\n', 5698.266488189566]
[' my dear charlotte impossible\n', 550.2687475499775]
[' articlehere steady countenance interpronoun miss lucas had commanded in telling thirdpronoun story gave way to articlehere momentary confusion here on receiving so direct articlehere reproach though as personpronoun was no more than personpronoun expected personpronoun soon regained thirdpronoun composure and calmly replied why should personpronoun be surprised my dear eliza\n', 4730.883297736168]
[' but elizabeth had now recollected reflexpronoun and making articlehere strong effort for personpronoun was able to assure thirdpronoun with tolerable firmness demonpronoun articlehere prospect of their relationship was highly grateful to thirdpronoun and demonpronoun personpronoun wished thirdpronoun indefpronoun imaginable happiness\n', 1694.8454637197417]
[' personpronoun see interpronoun personpronoun are feeling replied charlotte personpronoun must be surprised very much surprised so lately as addressform collins was wishing to marry you\n', 2489.060575254741]
[' but when personpronoun have had time to think personpronoun indefpronoun over personpronoun hope personpronoun will be satisfied with interpronoun personpronoun have done\n', 461.4804800894172]
[' personpronoun am not romantic personpronoun know\n', 354.93736728910324]
[' personpronoun never was\n', 61.999947436722586]
